DATE,POWER FLOW (mcm),ENERGY (GWh),RES ELEV (m),SPILL (mcm),GROSS STORAGE (mcm),RAIN (mm)
30-Dec-84,3.77,1.78,428.00,-1.00,509.00,-1.00
31-Dec-84,4.25,2.01,428.00,-1.00,509.00,-1.00
1-Jan-85,4.08,1.93,428.00,-1.00,509.00,-1.00
2-Jan-85,3.83,1.81,428.00,-1.00,509.00,-1.00
3-Jan-85,4.33,2.05,428.00,-1.00,509.00,-1.00
4-Jan-85,3.68,1.74,428.00,-1.00,509.00,-1.00
5-Jan-85,4.04,1.91,428.11,-1.00,510.98,-1.00
6-Jan-85,3.27,1.55,428.32,-1.00,514.76,-1.00
7-Jan-85,2.67,1.27,428.59,-1.00,519.55,-1.00
8-Jan-85,4.70,2.24,429.35,-1.00,533.28,-1.00
9-Jan-85,3.99,1.90,429.27,-1.00,531.91,-1.00
10-Jan-85,3.44,1.64,429.18,-1.00,530.24,-1.00
11-Jan-85,3.80,1.81,429.08,-1.00,528.44,-1.00
12-Jan-85,3.45,1.64,428.96,-1.00,526.35,-1.00
13-Jan-85,3.64,1.73,428.85,-1.00,524.30,-1.00
14-Jan-85,3.53,1.68,428.72,-1.00,521.96,-1.00
15-Jan-85,3.29,1.56,428.59,-1.00,519.70,-1.00
16-Jan-85,3.49,1.65,428.51,-1.00,518.18,-1.00
17-Jan-85,3.49,1.66,428.55,-1.00,518.90,-1.00
18-Jan-85,3.54,1.68,428.52,-1.00,518.30,-1.00
19-Jan-85,3.77,1.79,428.60,-1.00,519.84,-1.00
20-Jan-85,3.59,1.70,428.59,-1.00,519.53,-1.00
21-Jan-85,2.81,1.33,428.51,-1.00,518.16,-1.00
22-Jan-85,3.56,1.66,425.43,-1.00,516.72,-1.00
23-Jan-85,3.67,1.74,428.30,-1.00,514.44,-1.00
24-Jan-85,3.54,1.68,428.18,-1.00,512.31,-1.00
25-Jan-85,3.46,1.64,428.06,-1.00,509.99,-1.00
26-Jan-85,3.56,1.68,427.94,-1.00,507.87,-1.00
27-Jan-85,3.53,1.67,427.81,-1.00,505.60,-1.00
28-Jan-85,3.52,1.66,427.68,-1.00,503.20,-1.00
29-Jan-85,3.55,1.68,427.54,-1.00,500.70,-1.00
30-Jan-85,3.48,1.64,427.41,-1.00,498.31,-1.00
31-Jan-85,3.42,1.62,427.40,-1.00,494.30,-1.00
1-Feb-85,3.55,1.67,427.15,-1.00,493.77,-1.00
2-Feb-85,3.51,1.65,427.03,-1.00,491.47,-1.00
3-Feb-85,3.48,1.64,426.93,-1.00,489.79,-1.00
4-Feb-85,3.57,1.68,426.94,-1.00,489.85,-1.00
5-Feb-85,4.14,1.95,426.92,-1.00,489.61,-1.00
6-Feb-85,4.40,2.07,426.80,-1.00,487.36,-1.00
7-Feb-85,4.68,2.20,426.60,-1.00,483.82,-1.00
8-Feb-85,3.97,1.86,426.46,-1.00,481.28,-1.00
9-Feb-85,3.33,1.56,426.39,-1.00,480.07,-1.00
10-Feb-85,3.51,1.65,426.26,-1.00,477.67,-1.00
11-Feb-85,1.92,0.90,426.16,-1.00,475.88,-1.00
12-Feb-85,2.57,1.21,426.10,-1.00,474.85,-1.00
13-Feb-85,4.24,1.98,425.96,-1.00,472.19,-1.00
14-Feb-85,4.50,2.11,425.75,-1.00,468.50,-1.00
15-Feb-85,4.35,2.03,425.53,-1.00,464.61,-1.00
16-Feb-85,3.64,1.70,425.31,-1.00,460.60,-1.00
17-Feb-85,4.06,1.89,425.13,-1.00,457.41,-1.00
18-Feb-85,4.55,2.12,424.91,-1.00,453.58,-1.00
19-Feb-85,4.87,2.26,424.65,-1.00,449.32,-1.00
20-Feb-85,4.46,2.07,424.38,-1.00,445.11,-1.00
21-Feb-85,3.36,1.56,424.15,-1.00,441.34,-1.00
22-Feb-85,4.29,1.99,423.95,-1.00,438.17,-1.00
23-Feb-85,4.86,2.25,423.68,-1.00,433.86,-1.00
24-Feb-85,4.58,2.12,423.39,-1.00,429.19,-1.00
25-Feb-85,4.75,2.19,423.10,-1.00,424.63,-1.00
26-Feb-85,4.19,1.92,422.08,-1.00,419.96,-1.00
27-Feb-85,4.92,2.26,422.59,-1.00,416.72,-1.00
28-Feb-85,4.86,2.23,422.41,-1.00,413.50,-1.00
1-Mar-85,4.40,2.02,422.16,-1.00,410.20,-1.00
2-Mar-85,4.70,2.15,421.91,-1.00,405.54,-1.00
3-Mar-85,4.65,2.13,421.63,-1.00,401.02,-1.00
4-Mar-85,4.99,2.28,421.53,-1.00,399.51,-1.00
5-Mar-85,4.22,1.93,421.28,-1.00,395.45,-1.00
6-Mar-85,2.86,1.31,421.67,-1.00,392.09,-1.00
7-Mar-85,4.76,2.17,420.92,-1.00,389.69,-1.00
8-Mar-85,4.78,2.18,420.65,-1.00,385.34,-1.00
9-Mar-85,4.84,2.20,420.33,-1.00,380.33,-1.00
10-Mar-85,4.71,2.14,420.03,-1.00,375.48,-1.00
11-Mar-85,5.01,2.27,419.76,-1.00,371.61,-1.00
12-Mar-85,4.79,2.17,419.90,-1.00,373.54,-1.00
13-Mar-85,5.59,2.54,419.89,-1.00,373.39,-1.00
14-Mar-85,5.79,2.62,419.71,-1.00,371.00,-1.00
15-Mar-85,5.98,2.70,419.45,-1.00,367.27,-1.00
16-Mar-85,5.10,2.30,419.09,-1.00,362.25,-1.00
17-Mar-85,4.92,2.22,418.80,-1.00,358.14,-1.00
18-Mar-85,4.32,1.94,418.55,-1.00,354.67,-1.00
19-Mar-85,4.74,2.13,418.34,-1.00,351.70,-1.00
20-Mar-85,5.66,2.54,418.15,-1.00,349.03,-1.00
21-Mar-85,5.87,2.63,417.83,-1.00,344.56,-1.00
22-Mar-85,5.77,2.58,417.46,-1.00,339.50,-1.00
23-Mar-85,3.61,1.61,417.06,-1.00,333.84,-1.00
24-Mar-85,4.88,2.17,416.89,-1.00,331.40,-1.00
25-Mar-85,4.77,2.12,416.64,0.00,328.00,-1.00
26-Mar-85,4.94,2.20,416.39,0.00,324.47,-1.00
